notebook_pdf_pages,manuscript_pages,notebook_topic,identified_source,source_pages,relationship,verbal_closeness,lovejoy_operation,evidence_status,next_action
4-5,8-9,Sankhya method / pramana,"Richard Garbe, Die Sâmkhya-Philosophie (1894)",150ff,"Direct named source; notebook heading 'Garbe p.150' and sequence of pramana/logical-method claims matches source",very_high,"Selection/abbreviation; possible later use of adopted/alien logical elements as historical layering evidence",confirmed_exact_source,"Build sentence-level transcription↔Garbe table"
12-14,53-57,Sankhya/Buddhism priority and chronology,"T. W. Rhys Davids, Buddhism: Its History and Literature (1896)",24-30,"Close extract/digest including Garbe chronology, 'most doubtful', 'great gap', Kapila conclusion",very_high,"Source uptake; no independent endorsement should be inferred from copied first-person wording",confirmed_exact_source,"Mark source boundaries in transcription metadata/research note"
14-16,57-61,Brahmajala sixty-two heresies,"Rhys Davids, Buddhism: Its History and Literature (1896)",30-36,"List/order/descriptions closely follow Rhys Davids; source itself says opinions need not represent separate schools",very_high,"Notebook reorganizes/condenses source; decomposition/recombination operation partly inherited from Rhys Davids",confirmed_exact_source,"Map where notebook begins adding its own systematic summary"
16-17,61-63,Sankhya comparison from Buddhist heresy list,"Rhys Davids 1896 plus notebook supplement",28-30,"Notebook follows Rhys Davids on world/self/Sankhya contrast then explicitly shifts to 'To R.D.'s remark it should be added'",high_until_explicit_hinge,"Lovejoy redefines diagnostic core as separateness of Self and World/thorough-going dualism; seeks more genuinely Sankhyan parallel in Majjhima Nikaya 63",confirmed_authorial_hinge,"Compare exact Rhys Davids endpoint with Lovejoy supplement sentence by sentence"
18,65,Buddhist refusal of speculative assertions,"Unresolved immediate source; Rhys Davids is upstream but exact wording not matched",null,"Notebook summarizes four question domains then rejects reading as mere practical philosophical agnosticism",unknown_to_medium,"Likely synthesis: objection lies in form of questions; Buddhism remains salvation doctrine based on insight",likely_lovejoy_synthesis_source_unidentified,"Search Oldenberg, Warren, contemporary Buddhist expositions for phrase/concept match"
20,71,Program for analyzing nidanas,"Notebook programmatic voice",null,"Uses 'present effort' and states aim explicitly",authorial_programmatic,"General philosophical position + Three Characteristics → technical working out in paticca-samuppada → twelve notions/interrelation/current Indic ideas",confirmed_programmatic_notebook_voice,"Use as principal manuscript anchor for system-reconstruction thesis"
20-36,71-105,Term-by-term dependent origination analysis,"Warren; Oldenberg; Childers; Nidana-Samyutta; Buddhaghosa; Hardy and others",various,"Heavy mediated textual apparatus; quotations/definitions assembled term by term",mixed,"Juxtaposition and causal/semantic mapping; diagrams consciousness→namarupa→sense organs→contact→sensation→desire",confirmed_mediated_research_apparatus,"Resolve only references needed for argument; avoid unnecessary full bibliography cleanup"
48-52,135-143,Senart / composite nidana formula,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",281-297,"Direct named engagement and quotation; notebook partly grants historical heterogeneity/non-strict temporal sequence",high,"Reject inference from compositeness to unintelligibility; seek discoverable technical system/arrangement",confirmed_argument_medium_transcription,"Build Senart→notebook→1898 three-column table; use published text for exact wording"
55-71,149-183,upadana/upadhi/upadisesa/Nirvana,"Oldenberg; Childers; Rhys Davids; Burnouf; Sutta Nipata; Samyutta; Buddhaghosa etc.",various,"Extended philological testing across rival semantic interpretations",mixed,"Distinguishes attachment/residual impurity from physical aggregate persistence; prepares second half of 1898 article",confirmed_prepublication_working_apparatus,"Map only passages directly reused in 1898 and record contradictory evidence retained"
1898_article,NA,published system reconstruction,"Arthur O. Lovejoy, 'The Buddhistic Technical Terms upādāna and upādisesa,' JAOS 19 (1898)",126-136,"Published endpoint of notebook line",secure_primary,"Semantic discrimination; karma vs upadana causal role; borrowed terms/ideas but original characteristic arrangement/application; paticca-samuppada + tilakkhana as theoretical equipment",confirmed_primary_authorial,"Use as control for which notebook operations Lovejoy actually owned in publication"
