date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action
1896,primary_source,strict_core,Émile Senart À propos de la théorie bouddhique des douze nidânas,"Mélanges Charles de Harlez pp281-297; uploaded OCR mlangescharlesd00goog",primary_text_recovered,"Direct text confirms stratigraphic/compositional argument: upādāna as reduction for pañca upādānaskandhas; duplication and variant formulae used to limit autonomous-system reconstruction","Retain p284-295 claims separately in future prose; avoid shorthand that Senart simply calls formula meaningless"
1897,primary_source_attested,strict_core,Hermann Oldenberg Buddha 3rd ed p273 note,"Attested independently by Jacobi 1898 footnote and Oldenberg 1898 self-cross-reference",priority_secure_visual_copy_pending,"Basic anti-Senart upādāna != upādānakkhandha semantic rebuttal is already in print in 1897; resolves batch32 priority problem","Obtain actual 3rd-ed page273 note for visual verification and archive; capture pp443-455 Sankhya appendix"
1898,primary_source,strict_core,Hermann Jacobi Verhältnis der buddhistischen Philosophie zu Sāṁkhya-Yoga und Bedeutung der Nidānas,"uploaded OCR 1898_Über das Verhältnis...",primary_text_recovered,"Explicitly cites Oldenberg Buddha 3rd ed p273 note against Senart; reconstructs upādāna through adrṣṭa/karma and broad Sankhya genealogy","Use as witness for 1897 Oldenberg priority and as comparative model: genealogy plus system reconstruction"
1898,primary_source,strict_core,Hermann Oldenberg Buddhistische Studien section VII,"ZDMG 52 pp681-694; uploaded OCR 提取自12946592543477...",primary_text_recovered,"Reconstructs phassa-vedanā-taṇhā-upādāna from canonical semantics; rejects causa-materialis/adrṣṭa import; self-cross-ref to Buddha³ p273 note independently confirms 1897 locus","Collate pp690-693 against Lovejoy 1898 causal-role allocation; check whether any closer karma/upādāna functional parallel exists"
1898,negative_primary_check,strict_core,Lovejoy name in Oldenberg Buddhistische Studien pp681-694,"uploaded OCR full-section text search",no_hit_in_section,"No visible Lovejoy citation in the recovered section; this weighs against an immediate Oldenberg-uptake claim but remains negative OCR evidence","Inspect page images/footnotes only if a reception claim later depends on proving absence"
1890,edition_control,strict_core,Hermann Oldenberg Buddha uploaded scan,"uploaded OCR buddhaseinleben03oldegoog...; title page ZWEITE AUFLAGE; library stamp 1890",misidentified_filename_second_edition,"The uploaded filename suggests 3rd ed but object is 2nd ed; cannot serve as direct witness for 1897 p273 note","Keep as edition-control source only; replace priority target with actual 1897 third edition"
1898,primary_source,strict_core,Arthur O Lovejoy The Buddhistic technical terms upādāna and upādisesa,"JAOS 19 pp126-136; repo HTML + clean corpus",primary_text_recovered,"Published paper's basic anti-Senart distinction has Oldenberg priority; stronger candidate is functional allocation of karma versus upādāna","Reframe novelty around causal-function partition and genealogy/configuration distinction; do not claim priority for basic semantic rebuttal"
1898,interpretive_problem,strict_core,Oldenberg-Lovejoy dependence/circulation,"Oldenberg 1897 attested + Lovejoy JAOS citation pattern",unresolved_after_priority_resolution,"Lovejoy explicitly cites Oldenberg in upādisesa section but not visibly in immediate upādāna/Senart rebuttal; priority is settled but dependence is not","Search Lovejoy correspondence notebook citation form library borrowing/acquisition evidence for actual access to Buddha 3rd ed"
1896-1898,interpretive_model,history_of_ideas,Genealogy versus configuration,"Senart-Jacobi-Oldenberg-Lovejoy primary collation",strong,"Best methodological distinction: historical borrowing/repetition and synchronic causal role are separate questions; Lovejoy's distinctive operation is functional non-equivalence within composite inheritance","Carry this narrow inference rule forward into 1902 and later work; avoid teleological proto-unit-idea language"
1898,chronology_control,strict_core,Exact 1898 fascicle chronology,"JAOS 19 no2 and ZDMG 52 issue/fascicle wrappers",unresolved_lower_priority,"Still relevant for immediate reception among Jacobi Oldenberg Lovejoy but no longer controls basic anti-Senart priority because Oldenberg locus is 1897","Recover only after source-access question; use wrappers proceedings accession notices if needed"
