notebook_pdf_pages,manuscript_pages,notebook_topic,identified_source,source_pages,relationship,verbal_closeness,lovejoy_operation,evidence_status,next_action
4-5,8-9,Sankhya method / pramana,"Richard Garbe, Die Sâmkhya-Philosophie (1894)",150ff,"Direct named source; notebook heading 'Garbe p.150' and sequence of pramana/logical-method claims matches source",very_high,"Selection/abbreviation; adopted/alien logical material supplies historical-layering problem",confirmed_exact_source,"Build sentence-level transcription↔Garbe table only if needed for publication"
12-14,53-57,Sankhya/Buddhism priority and chronology,"T. W. Rhys Davids, Buddhism: Its History and Literature (1896)",24-30,"Close extract/digest including Garbe chronology, 'most doubtful', 'great gap', Kapila conclusion",very_high,"Source uptake; no independent Lovejoy endorsement should be inferred from copied first-person wording",confirmed_exact_source,"Keep source boundary explicit in paper draft"
14-16,57-61,Brahmajala sixty-two heresies,"Rhys Davids, Buddhism: Its History and Literature (1896)",30-36,"List/order/descriptions closely follow Rhys Davids; source says opinions need not represent separate schools",very_high,"Notebook condenses source; decomposition/recombination partly inherited from Rhys Davids",confirmed_exact_source,"Map exact authorial hinge only if quoted"
15-16,59-61,Detached doctrines / coherent systematic reason,"Rhys Davids upstream; exact Lovejoy wording not matched in source",30-36,"Notebook says doctrines need not be separate systems and may combine, then adds that Buddhism rejects all for a coherent/systematic reason",medium_high,"Likely synthesis/recasting: turns source classification into question of systematic reason",probable_authorial_synthesis_source_control_needed,"Search exact phrases in other immediate sources before treating wording as uniquely Lovejoy"
16-17,61-63,Sankhya comparison from Buddhist heresy list,"Rhys Davids 1896 plus notebook supplement",28-30,"Notebook follows Rhys Davids then explicitly shifts to 'To R.D.'s remark it should be added'",high_until_explicit_hinge,"Lovejoy redefines diagnostic core as separateness of Self and World/thorough-going dualism and seeks more genuinely Sankhyan parallel in Majjhima Nikaya 63",confirmed_authorial_hinge,"Use as principal example of diagnostic-resemblance control; Jacobi 1897 now supplies field-level priority control"
18,65,Buddhist refusal of speculative assertions,"Henry Clarke Warren, Buddhism in Translations (1896), Chapter II intro; T.W. Rhys Davids 1896 Lecture I",111-116;39-43,"Warren explicitly pairs false-presupposition/out-of-court explanation with 'purely practical aim'; Rhys Davids says negative anti-soul position is not whole Dharma",high_conceptual_match,"Lovejoy reweights sources: not merely practical philosophical agnosticism; objection lies in form/presuppositions of questions while Buddhism remains salvation through insight",strong_authorial_reweighting_exact_lexical_source_partly_open,"Search 'common-sense moralist' phrase only if needed"
20,71,Program for analyzing nidanas,"Notebook programmatic voice",null,"Uses 'present effort' and states aim explicitly",authorial_programmatic,"General philosophical position + Three Characteristics → technical working out in paticca-samuppada → twelve notions/interrelation/current Indic ideas",confirmed_programmatic_notebook_voice,"Use as principal manuscript anchor for system-reconstruction thesis"
20-36,71-105,Term-by-term dependent origination analysis,"Warren; Oldenberg; Childers; Nidana-Samyutta; Buddhaghosa; Hardy and others",various,"Heavy mediated textual apparatus; quotations/definitions assembled term by term",mixed,"Juxtaposition and causal/semantic mapping; diagram consciousness→namarupa→sense organs→contact→sensation→desire",confirmed_mediated_research_apparatus,"Resolve only references needed for argument"
20-36,71-105,Historical compositeness / duplicate-generation problem,"Henry Clarke Warren, Buddhism in Translations (1896)",115-116,"Warren already suspects full dependent-origination formula is a 'piece of patchwork' because sentient being is generated twice; Buddha may have combined/modified older formulas",very_high,"Important upstream hypothesis: notebook's compositeness problem belongs to source environment; Lovejoy's later contribution must be located in reconstruction rather than discovery of patchwork",confirmed_primary_source_context,"Compare with Senart at the level of evidentiary burden rather than novelty of decomposition"
30,91,Saṅkhāra / karma contextual use,"R. Spence Hardy, A Manual of Budhism (1853)",386,"Notebook directly cites Hardy p.386 in the saṅkhāra/karma discussion",high_named_source,"Uses Hardy within broader causal-continuity apparatus; confirms direct use of the Manual before the p394 distinction",confirmed_direct_notebook_citation,"Recover p386 only if exact quotation becomes necessary"
33,97,Upādāna relation to karma — fact versus manner of continued existence,"R. Spence Hardy, A Manual of Budhism (1853)",394-396,"Direct named source under heading 'Upādāna, Relation to Karma'; notebook asks whether upādāna causes the fact of continued existence while karma causes its manner; direct Hardy primary recovered",very_high_conceptual_medium_transcription,"Transforms Hardy's two-factor reproduction/manner description into explicit fact/manner analytic question; direct precursor to 1898 particular-condition/fact-of-rebirth distinction",confirmed_direct_notebook_source_and_primary_recovered,"Use Hardy→004→1898 as principal source-transformation microgenesis; no manual Hardy retrieval needed"
1853_primary,NA,Hardy causal architecture primary control,"R. Spence Hardy, A Manual of Budhism (1853)",394-396,"Primary says upādāna is cleaving to existing objects; by upādāna a new existence is produced while karma controls its manner; karma specifies species/state/grade; p396 says karma produces new existence in conjunction with upādāna",exact_primary,"Upstream two-factor architecture with some ambiguity over efficient causation; supplies material Lovejoy later regularizes",confirmed_primary_recovered,"Cite Internet Archive item manualofbudhism00hard; distinguish Hardy's wording from Lovejoy's fact/manner terminology"
48-52,135-143,Senart / composite nidana formula,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",281-297,"Direct named engagement; uploaded primary confirms layered/composite thesis and upādāna = pañca upādānaskandhas claim; notebook/article partly grant heterogeneity but reject semantic premise/inference to incoherence",high,"Tests whether alleged repeated components actually perform the same semantic/causal role; grants composition while limiting what composition can prove",confirmed_primary_recovered_and_notebook_engagement,"Use Senart→004→1898 evidentiary-burden matrix; do not caricature Senart as merely claiming meaningless patchwork"
1896_primary,NA,Senart historical anatomy of nidanas,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",288,"Senart identifies trṣṇā/upādāna as nomenclature core, next three as natural extensions, remainder as Sāṁkhya borrowing plus alleged skandha repetition",exact_primary,"Upstream decomposition is already structured and historical; Lovejoy cannot be credited with inventing formula-layer analysis",confirmed_primary_recovered,"Use as control against novelty claims for decomposition/compositeness"
1896_primary,NA,Senart upadhi/upadi lexical genealogy,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",293,"Senart compares Buddhist/Sāṁkhya upadhi and northern/southern forms, using semantic/formal affinity to reconstruct term relation and borrowing",exact_primary,"Shows term genealogy and semantic comparison already central to live controversy",confirmed_primary_recovered,"Compare with Lovejoy 1898 p134 lexical fork; Dahlmann original p14 remains useful only if publication-grade direct genealogy wording is needed"
1896_primary,NA,Senart methodological manifesto — filiation and stratification,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",295,"Senart explicitly advocates analysis and filiation of terms; warns against attributing reflective speculation to inherited nomenclatures; says authoritative texts combine successive stratifications and Pali canon is separated from origins by a fluid transmission period",exact_primary,"Critical source-control correction: genealogy/layering/term-analysis are not Lovejoy-specific; Lovejoy's increment lies in restricting what such evidence may infer about present semantic/systematic function",confirmed_primary_recovered,"Use p295 as principal historiographical control; quote sparingly and cite exact page"
49-50,137-139,Composite provenance versus intelligible arrangement,"Senart 1896 as immediate target; Warren 1896 broader patchwork context",288-295;115-116,"Notebook explicitly grants non-original terms, heterogeneous categories and nonhomogeneous temporal sequence while denying that formula is unintelligible or accidentally ordered",high_authorial_argument,"Division of evidentiary burden: compositeness/provenance does not entail lack of technical/systematic relation; functional identity must be demonstrated separately",confirmed_authorial_hinge,"Use p49 alongside Senart p295 as strongest manuscript contrast; MD-006 page image is the only material-method upgrade"
55-71,149-183,upādāna/upadhi/upādisesa/Nirvana,"Hermann Oldenberg, Buddha: His Life, His Doctrine, His Order, English tr. (1882); Childers; Rhys Davids; Burnouf; Sutta Nipata; Samyutta; Buddhaghosa",427-438 plus notebook wider sources,"Lovejoy explicitly cites Oldenberg English tr. p433 in 1898; Oldenberg already supplies ethical-residue thesis, Itivuttaka counterevidence, Anagamin and deceased-monk evidence, upādāna≈samyojana, and upādi=upadhi orthographic hypothesis; notebook extends/tests this package",high_primary_plus_notebook,"Controlled recomposition: retain Oldenberg ethical direction but decouple it from settled etymology, add/repurpose usage evidence, preserve contradictory textual witnesses and provisionality",confirmed_direct_source_primary_recovered,"Use Oldenberg1882→004→Lovejoy1898 matrix; true 1897 third edition now separately controlled and sharply narrows priority claims"
63-66,167-173,upādisesa residual ethical meaning,"Sutta-Nipāta and related textual witnesses; Warren/Childers/Oldenberg as comparison",various,"Notebook tests poisoned-arrow and Anāgāmin/Arahat contexts; p66 high-confidence conclusion says term grades residual impurity/attachment rather than physical persistence of skandhas",high,"Usage overrides a simple etymological/skandha-residue reading when the latter fails in concrete contexts",confirmed_authorial_textual_test,"Use as principal notebook example for usage-over-derivation rule"
