source_type,author,date,title_or_item,locus_or_pages,url_or_archive,role_in_argument,evidence_status,caution
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF p62; p78; pp84-90,/uploaded/MS38_004_001_061_005.pdf,Trumbull Blood Covenant and Threshold Covenant in blood/foundation problem cluster,direct manuscript medium-high,Local first-pass p62 title correction issue affects Steinmetz only not Trumbull
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF pp87-90,/uploaded/MS38_004_001_061_005.pdf,Miss Kingsley in West-African blood/fetish/house-protection sequence,direct manuscript medium-high,Exact page number in Kingsley not yet collated
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF p63 and following African sequence,/uploaded/MS38_004_001_061_005.pdf,Callaway Religious System of the Amazulu as African/ancestral-sacrifice source,direct manuscript medium,Exact Lovejoy source-page references not all secure
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF p76,/uploaded/MS38_004_001_061_005.pdf,Human victim as messenger/communication mechanism,direct manuscript medium,Exact ethnographic source partly uncertain
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF pp84-86,/uploaded/MS38_004_001_061_005.pdf,Foundation blood/body parts as protective or intrinsic efficacy rather than automatic communion,direct manuscript medium-high,Several source details uncertain
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,fn17-18; fn377; reprint lines645-646 and 1121,https://fr.wikisource.org/wiki/M%C3%A9langes_d%E2%80%99histoire_des_religions/Essai_sur_la_nature_et_la_fonction_du_sacrifice,Exact Trumbull Blood Covenant/Threshold Covenant overlap; construction blood and threshold problem,primary published,No proof Lovejoy read essay
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,fn213 reprint line911,same,Kingsley Travels in West Africa p454 cited beside Marillier 1898 in blood/idol evidence,primary published,Shared bibliographic micro-neighborhood not direct transmission
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,fn383 line1129; fn512 line1275,same,Callaway Religious System of the Amazulu exact work/page references,primary published,Canonical source overlap alone weak; cumulative constellation stronger
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,fn385 lines1132-1134,same,Victim frequently imagined as messenger; sacred carrier directed toward objective,primary published,Proposition overlap not proof of reading
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,fn2 lines615-616 and repeated footnotes,same,Marillier La place du totémisme named among strongest Robertson Smith critics and repeatedly cited,primary published,Hardens shared Marillier node but not direct Mauss-Lovejoy relation
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,lines202-214; 412-419,same,Rebuilds diverse sacrifice as one generic mechanism after rejecting historical genealogy,primary published,Key controlled divergence from Lovejoy's more plural mechanism field
