notebook_pdf_pages,manuscript_pages,notebook_topic,identified_source,source_pages,relationship,verbal_closeness,lovejoy_operation,evidence_status,next_action
4-5,8-9,Sankhya method / pramana,"Richard Garbe, Die Sâmkhya-Philosophie (1894)",150ff,"Direct named source; notebook heading 'Garbe p.150' and sequence of pramana/logical-method claims matches source",very_high,"Selection/abbreviation; adopted/alien logical material supplies historical-layering problem",confirmed_exact_source,"Build sentence-level transcription↔Garbe table"
12-14,53-57,Sankhya/Buddhism priority and chronology,"T. W. Rhys Davids, Buddhism: Its History and Literature (1896)",24-30,"Close extract/digest including Garbe chronology, 'most doubtful', 'great gap', Kapila conclusion",very_high,"Source uptake; no independent Lovejoy endorsement should be inferred from copied first-person wording",confirmed_exact_source,"Mark source boundaries in transcription/research notes"
14-16,57-61,Brahmajala sixty-two heresies,"Rhys Davids, Buddhism: Its History and Literature (1896)",30-36,"List/order/descriptions closely follow Rhys Davids; source says opinions need not represent separate schools",very_high,"Notebook condenses source; decomposition/recombination partly inherited from Rhys Davids",confirmed_exact_source,"Map exact point where notebook begins adding systematic summary"
15-16,59-61,Detached doctrines / coherent systematic reason,"Rhys Davids upstream; exact Lovejoy wording not matched in source",30-36,"Notebook says doctrines need not be separate systems and may combine, then adds that Buddhism rejects all for a coherent/systematic reason",medium_high,"Likely synthesis/recasting: turns source classification into question of systematic reason",probable_authorial_synthesis_source_control_needed,"Search exact phrases in other immediate sources before treating wording as uniquely Lovejoy"
16-17,61-63,Sankhya comparison from Buddhist heresy list,"Rhys Davids 1896 plus notebook supplement",28-30,"Notebook follows Rhys Davids then explicitly shifts to 'To R.D.'s remark it should be added'",high_until_explicit_hinge,"Lovejoy redefines diagnostic core as separateness of Self and World/thorough-going dualism and seeks more genuinely Sankhyan parallel in Majjhima Nikaya 63",confirmed_authorial_hinge,"Compare exact Rhys Davids endpoint with Lovejoy supplement sentence by sentence"
18,65,Buddhist refusal of speculative assertions,"Henry Clarke Warren, Buddhism in Translations (1896), Chapter II intro; T.W. Rhys Davids 1896 Lecture I",111-116;39-43,"Warren explicitly pairs false-presupposition/out-of-court explanation with 'purely practical aim'; Rhys Davids says negative anti-soul position is not whole Dharma",high_conceptual_match,"Lovejoy reweights sources: not merely practical philosophical agnosticism; objection lies in form/presuppositions of questions while Buddhism remains salvation through insight",strong_authorial_reweighting_exact_lexical_source_partly_open,"Search 'common-sense moralist' phrase separately"
20,71,Program for analyzing nidanas,"Notebook programmatic voice",null,"Uses 'present effort' and states aim explicitly",authorial_programmatic,"General philosophical position + Three Characteristics → technical working out in paticca-samuppada → twelve notions/interrelation/current Indic ideas",confirmed_programmatic_notebook_voice,"Use as principal manuscript anchor for system-reconstruction thesis"
20-36,71-105,Term-by-term dependent origination analysis,"Warren; Oldenberg; Childers; Nidana-Samyutta; Buddhaghosa; Hardy and others",various,"Heavy mediated textual apparatus; quotations/definitions assembled term by term",mixed,"Juxtaposition and causal/semantic mapping; diagram consciousness→namarupa→sense organs→contact→sensation→desire",confirmed_mediated_research_apparatus,"Resolve only references needed for argument"
20-36,71-105,Historical compositeness / duplicate-generation problem,"Henry Clarke Warren, Buddhism in Translations (1896)",115-116,"Warren already suspects full dependent-origination formula is a 'piece of patchwork' because sentient being is generated twice; Buddha may have combined/modified older formulas",very_high,"Important upstream hypothesis: notebook's compositeness problem belongs to source environment; Lovejoy's later contribution must be located in functional reconstruction rather than discovery of patchwork",confirmed_primary_source_context,"Compare Warren patchwork logic with Senart's stronger repetition argument and 004 response"
48-52,135-143,Senart / composite nidana formula,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",281-297,"Direct named engagement; notebook/article partly grant historical heterogeneity/non-strict temporal sequence but contest semantic premise and inference to incoherence",high,"Test whether apparent repeated components perform same semantic/causal role; reject compositeness→unintelligibility inference",confirmed_argument_medium_transcription,"Build Senart→notebook→1898 three-column table; direct Senart scan still needed"
55-71,149-183,upadana/upadhi/upadisesa/Nirvana,"Oldenberg; Childers; Rhys Davids; Burnouf; Sutta Nipata; Samyutta; Buddhaghosa etc.",various,"Extended philological testing across rival semantic interpretations",mixed,"Distinguishes attachment/residual impurity from physical aggregate persistence; prepares second half of 1898 article",confirmed_prepublication_working_apparatus,"Map only passages directly reused in 1898 and record contradictory evidence retained"
1898_article,NA,published system reconstruction,"Arthur O. Lovejoy, 'The Buddhistic Technical Terms upādāna and upādisesa,' JAOS 19 (1898)",126-136,"Published endpoint of notebook line",secure_primary,"Semantic discrimination; karma vs upadana causal role; formal recurrence ≠ functional identity; borrowed terms/ideas but original characteristic arrangement/application; paticca-samuppada + tilakkhana as theoretical equipment",confirmed_primary_authorial,"Use as control for which notebook operations Lovejoy owns in publication"
